key,en,fr
ok,Ok,Ok
cancel,Cancel,Annuler
valid,Valid,Valider
continue,Continue,Continuer
restart,Restart,Recommencer
reset,Reset,Réinitialiser
main-menu,Main menu,Menu principal
export,Export,Exporter
import,Import,Importer
save,Save,Sauvegarder
delete,Delete,Supprimer
all,All,Tous
dont-show-again,Don't show again.,Ne plus afficher
view,View,Voir
view-test,View the test,Voir le test
edit,Edit,Éditer
duplicate,Duplicate,Dupliquer
duplicate-suffix," (copy)"," (copie)"
play,Play,Démarrer
eval,Be evaluate,S'évaluer
language,Language: ,Langue: 
loading,Loading,Chargement
more-informations,More informations,Plus d'informations
settings,Settings,Paramètres
legal-text,"<p>Data stored by your navigator is for a <b>local use only</b> and necessary for the application. The data stored is <b>never transmit to a third server</b>. Your are the only owner of your data, so, you are responsible of the security of yours data.</p><p>The usage of cookies and similar mechanisms are <b>essential</b> to the application.</p>","<p>Les données stockées par votre navigateur ne sont destiné qu'à un <b>usage local</b> pour les besoins de l'application. Les données stockées ne sont <b>transmis à aucun serveur tiers</b>. Vous êtes le seul détenteur de vos données, ainsi, vous êtes le seul responsable de la sécurité de vos données.</p><p>L'utilisation de cookies et mécanismes similaires sont <b>indispensables</b> pour le bon fonctionnement du site web.</p>"
